Date,Time,Open,High,Low,Close,Volume,SMA20,SMA200,Spread,ATR,PriceVsSMA20,PriceVsSMA200,Position,TradeState,EntryType,Score,DailyPnL,TotalPnL,TradesToday,Whipsaws,ChoppyMode,Decision
2026-01-28,00:42,26454,25,26455,50,26453,00,26455,25,481,26445,14,26413,40,31,74,3,73,ENCIMA,ENCIMA,FLAT,Flat,,0,0,0,00,0,00,0,0,NO,WAITING
2026-01-28,00:44,26454,75,26455,50,26450,75,26450,75,373,26445,83,26413,87,31,96,3,80,ENCIMA,ENCIMA,FLAT,Flat,,0,0,0,00,0,00,0,0,NO,OUT_OF_SESSION
2026-01-28,00:46,26451,00,26455,00,26450,00,26453,25,442,26446,53,26414,40,32,13,3,89,ENCIMA,ENCIMA,FLAT,Flat,,0,0,0,00,0,00,0,0,NO,OUT_OF_SESSION
2026-01-28,00:48,26453,25,26457,00,26452,75,26456,00,415,26447,35,26414,94,32,41,3,92,ENCIMA,ENCIMA,FLAT,Flat,,0,0,0,00,0,00,0,0,NO,OUT_OF_SESSION
2026-01-28,00:50,26456,00,26458,00,26455,50,26456,25,317,26448,10,26415,46,32,64,3,81,ENCIMA,ENCIMA,FLAT,Flat,,0,0,0,00,0,00,0,0,NO,OUT_OF_SESSION
2026-01-28,00:52,26456,25,26461,50,26456,25,26459,25,792,26448,89,26415,99,32,90,3,92,ENCIMA,ENCIMA,FLAT,Flat,,0,0,0,00,0,00,0,0,NO,OUT_OF_SESSION
2026-01-28,00:54,26459,25,26460,75,26458,50,26459,00,213,26449,70,26416,48,33,22,3,80,ENCIMA,ENCIMA,FLAT,Flat,,0,0,0,00,0,00,0,0,NO,OUT_OF_SESSION
2026-01-28,00:56,26459,00,26459,75,26456,50,26458,50,353,26450,36,26416,99,33,38,3,76,ENCIMA,ENCIMA,FLAT,Flat,,0,0,0,00,0,00,0,0,NO,OUT_OF_SESSION
2026-01-28,00:58,26458,50,26462,00,26456,50,26460,75,495,26451,13,26417,52,33,60,3,88,ENCIMA,ENCIMA,FLAT,Flat,,0,0,0,00,0,00,0,0,NO,OUT_OF_SESSION
2026-01-28,01:00,26461,00,26463,00,26458,00,26460,00,530,26451,93,26418,08,33,84,3,96,ENCIMA,ENCIMA,FLAT,Flat,,0,0,0,00,0,00,0,0,NO,OUT_OF_SESSION
